lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash	leaf_mass	leaf_mass_AFDM	ash_mass_AFDM	propOM	AFDM
Daulton Pond	54	2013/11/21	325	2013	7.2646	10.0252	30	20	29.137	31.9141	29.259	2.7606	2.7771	0.122	0.95606928090454	2.63932485686508
Daulton Pond	19	2013/12/04	338	2013	7.3023	10.58	43	21	31.001	34.2944	31.2111	3.2777	3.2934	0.210099999999997	0.93620574482298	3.06860156980628
Daulton Pond	27	2013/12/04	338	2013	7.3268	10.4042	43	22	26.9363	30.0348	27.059	3.0774	3.0985	0.122700000000002	0.960400193642084	2.95553555591415
Daulton Pond	35	2013/12/04	338	2013	7.2954	10.521	43	23	28.8139	32.0465	29.0058	3.2256	3.2326	0.191900000000000	0.94063602054074	3.03411554785622
Daulton Pond	65	2013/12/04	338	2013	7.2987	10.3444	43	24	29.396	32.4787	29.7377	3.0457	3.0827	0.341699999999999	0.889155610341584	2.70810124241736
Daulton Pond	66	2013/12/04	338	2013	7.3054	10.2948	43	15	26.9875	30.0326	27.1321	2.9894	3.0451	0.144600000000001	0.952513874749597	2.84744497717645
Daulton Pond	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	7	2014/02/05	36	2014	7.0973	9.5432	106	NA	NA	NA	NA	2.4459	NA	NA	NA	NA
Daulton Pond	8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	11		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	12		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	13	2014/02/05	36	2014	7.1595	9.3083	106	NA	NA	NA	NA	2.1488	NA	NA	NA	NA
Daulton Pond	14		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	16		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	17		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	20		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	21		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	24		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	26		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	28		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	29	2014/02/05	36	2014	7.1461	9.3699	106	NA	NA	NA	NA	2.2238	NA	NA	NA	NA
